company_id,charger_type,user_type,price_per_kwh,exists_flag
1,Fast,Subscriber,,FALSE
1,Fast,Payg,,FALSE
1,Fast,Contactless,,FALSE
1,Rapid,Subscriber,,FALSE
1,Rapid,Payg,,FALSE
1,Rapid,Contactless,,FALSE
1,Ultra,Subscriber,,FALSE
1,Ultra,Payg,,FALSE
1,Ultra,Contactless,,FALSE
2,Fast,Subscriber,,FALSE
2,Fast,Payg,,FALSE
2,Fast,Contactless,,FALSE
2,Rapid,Subscriber,,FALSE
2,Rapid,Payg,,FALSE
2,Rapid,Contactless,,FALSE
2,Ultra,Subscriber,,FALSE
2,Ultra,Payg,,FALSE
2,Ultra,Contactless,,FALSE
3,Fast,Subscriber,0.46,TRUE
3,Fast,Payg,0.65,TRUE
3,Fast,Contactless,,FALSE
3,Rapid,Subscriber,0.46,TRUE
3,Rapid,Payg,0.65,TRUE
3,Rapid,Contactless,,FALSE
3,Ultra,Subscriber,0.46,TRUE
3,Ultra,Payg,0.65,TRUE
3,Ultra,Contactless,,FALSE
4,Fast,Subscriber,,FALSE
4,Fast,Payg,,FALSE
4,Fast,Contactless,,FALSE
4,Rapid,Subscriber,,FALSE
4,Rapid,Payg,,FALSE
4,Rapid,Contactless,,FALSE
4,Ultra,Subscriber,,FALSE
4,Ultra,Payg,,FALSE
4,Ultra,Contactless,,FALSE
5,Fast,Subscriber,0.44,TRUE
5,Fast,Payg,0.65,TRUE
5,Fast,Contactless,0.65,TRUE
5,Rapid,Subscriber,0.63,TRUE
5,Rapid,Payg,0.83,TRUE
5,Rapid,Contactless,0.85,TRUE
5,Ultra,Subscriber,0.69,TRUE
5,Ultra,Payg,0.87,TRUE
5,Ultra,Contactless,0.89,TRUE
6,Fast,Subscriber,,FALSE
6,Fast,Payg,0.45,TRUE
6,Fast,Contactless,,FALSE
6,Rapid,Subscriber,,FALSE
6,Rapid,Payg,0.7,TRUE
6,Rapid,Contactless,,FALSE
6,Ultra,Subscriber,,FALSE
6,Ultra,Payg,,FALSE
6,Ultra,Contactless,,FALSE
7,Fast,Subscriber,0.83,TRUE
7,Fast,Payg,0.9,TRUE
7,Fast,Contactless,0.9,TRUE
7,Rapid,Subscriber,0.83,TRUE
7,Rapid,Payg,0.9,TRUE
7,Rapid,Contactless,0.9,TRUE
7,Ultra,Subscriber,0.83,TRUE
7,Ultra,Payg,0.9,TRUE
7,Ultra,Contactless,0.9,TRUE
8,Fast,Subscriber,0.85,TRUE
8,Fast,Payg,0.9,TRUE
8,Fast,Contactless,0.9,TRUE
8,Rapid,Subscriber,0.85,TRUE
8,Rapid,Payg,0.9,TRUE
8,Rapid,Contactless,0.9,TRUE
8,Ultra,Subscriber,0.85,TRUE
8,Ultra,Payg,0.9,TRUE
8,Ultra,Contactless,0.9,TRUE
9,Fast,Subscriber,,FALSE
9,Fast,Payg,0.33,TRUE
9,Fast,Contactless,0.33,TRUE
9,Rapid,Subscriber,,FALSE
9,Rapid,Payg,0.33,TRUE
9,Rapid,Contactless,0.33,TRUE
9,Ultra,Subscriber,,FALSE
9,Ultra,Payg,0.33,TRUE
9,Ultra,Contactless,0.33,TRUE
10,Fast,Subscriber,,FALSE
10,Fast,Payg,,FALSE
10,Fast,Contactless,,FALSE
10,Rapid,Subscriber,,FALSE
10,Rapid,Payg,0.62,TRUE
10,Rapid,Contactless,0.62,TRUE
10,Ultra,Subscriber,,FALSE
10,Ultra,Payg,,FALSE
10,Ultra,Contactless,,FALSE
11,Fast,Subscriber,,FALSE
11,Fast,Payg,,FALSE
11,Fast,Contactless,,FALSE
11,Rapid,Subscriber,,FALSE
11,Rapid,Payg,0.74,TRUE
11,Rapid,Contactless,0.69,TRUE
11,Ultra,Subscriber,,FALSE
11,Ultra,Payg,,FALSE
11,Ultra,Contactless,,FALSE
12,Fast,Subscriber,0.42,TRUE
12,Fast,Payg,0.42,TRUE
12,Fast,Contactless,,FALSE
12,Rapid,Subscriber,,FALSE
12,Rapid,Payg,,FALSE
12,Rapid,Contactless,,FALSE
12,Ultra,Subscriber,,FALSE
12,Ultra,Payg,,FALSE
12,Ultra,Contactless,,FALSE
13,Fast,Subscriber,0.53,TRUE
13,Fast,Payg,0.56,TRUE
13,Fast,Contactless,0.56,TRUE
13,Rapid,Subscriber,0.6,TRUE
13,Rapid,Payg,0.66,TRUE
13,Rapid,Contactless,0.66,TRUE
13,Ultra,Subscriber,0.6,TRUE
13,Ultra,Payg,0.66,TRUE
13,Ultra,Contactless,0.66,TRUE
14,Fast,Subscriber,0.59,TRUE
14,Fast,Payg,0.63,TRUE
14,Fast,Contactless,0.73,TRUE
14,Rapid,Subscriber,0.62,TRUE
14,Rapid,Payg,0.67,TRUE
14,Rapid,Contactless,0.73,TRUE
14,Ultra,Subscriber,0.73,TRUE
14,Ultra,Payg,0.77,TRUE
14,Ultra,Contactless,0.73,TRUE
15,Fast,Subscriber,0.5,TRUE
15,Fast,Payg,0.5,TRUE
15,Fast,Contactless,0.5,TRUE
15,Rapid,Subscriber,,FALSE
15,Rapid,Payg,,FALSE
15,Rapid,Contactless,,FALSE
15,Ultra,Subscriber,,FALSE
15,Ultra,Payg,,FALSE
15,Ultra,Contactless,,FALSE
16,Fast,Subscriber,,FALSE
16,Fast,Payg,0.5929,TRUE
16,Fast,Contactless,,FALSE
16,Rapid,Subscriber,,FALSE
16,Rapid,Payg,0.682,TRUE
16,Rapid,Contactless,,FALSE
16,Ultra,Subscriber,,FALSE
16,Ultra,Payg,,FALSE
16,Ultra,Contactless,,FALSE
17,Fast,Subscriber,,FALSE
17,Fast,Payg,0.49,TRUE
17,Fast,Contactless,,FALSE
17,Rapid,Subscriber,,FALSE
17,Rapid,Payg,0.49,TRUE
17,Rapid,Contactless,,FALSE
17,Ultra,Subscriber,,FALSE
17,Ultra,Payg,0.72,TRUE
17,Ultra,Contactless,,FALSE
18,Fast,Subscriber,0.69,TRUE
18,Fast,Payg,0.79,TRUE
18,Fast,Contactless,0.79,TRUE
18,Rapid,Subscriber,0.79,TRUE
18,Rapid,Payg,0.89,TRUE
18,Rapid,Contactless,0.89,TRUE
18,Ultra,Subscriber,0.79,TRUE
18,Ultra,Payg,0.89,TRUE
18,Ultra,Contactless,0.89,TRUE
